Model,MAE,RMSE,R²,MAPE (%),Max Error,Within ±5% (%),Pearson r,p-value
Ridge Regression,1.333,1.687,0.993,3.98,3.76,100.0,0.996,0.0
Lasso Regression,1.179,1.439,0.995,3.42,3.25,100.0,0.997,0.0
Decision Tree,2.735,3.388,0.972,8.61,9.5,94.0,0.986,0.0
Random Forest,1.837,2.473,0.985,6.9,5.83,92.0,0.993,0.0
Gradient Boosting,1.254,1.808,0.992,4.87,5.6,98.0,0.996,0.0
Extra Trees,2.1,2.582,0.983,7.25,7.33,96.0,0.992,0.0
SVR (RBF),2.792,3.334,0.972,8.96,7.36,88.0,0.988,0.0
KNN Regressor,3.251,4.034,0.96,9.99,8.7,80.0,0.98,0.0
